observation_date,LRHUTTTTNLA156N
1983-01-01,9.5083330000000004
1984-01-01,9.2916670000000003
1985-01-01,8.4499999999999993
1986-01-01,7.6083330000000000
1987-01-01,7.4666670000000002
1988-01-01,7.3750000000000000
1989-01-01,6.6749999999999998
1990-01-01,6.0833330000000005
1991-01-01,5.6749999999999998
1992-01-01,5.7583330000000004
1993-01-01,6.4666670000000002
1994-01-01,7.1916669999999998
1995-01-01,8.3583339999999993
1996-01-01,7.6749999999999998
1997-01-01,6.5000000000000000
1998-01-01,5.1333330000000004
1999-01-01,4.2333330000000000
2000-01-01,3.6666669999999999
2001-01-01,3.0750000000000002
2002-01-01,3.6666669999999999
2003-01-01,5.9083329999999998
2004-01-01,6.7750000000000004
2005-01-01,6.9583330000000005
2006-01-01,6.0833330000000005
2007-01-01,5.3083330000000002
2008-01-01,4.7583330000000004
2009-01-01,5.4249999999999998
2010-01-01,6.0666669999999998
2011-01-01,6.0499999999999998
2012-01-01,6.8166669999999998
2013-01-01,8.1916670000000007
2014-01-01,8.3499999999999996
2015-01-01,7.8916670000000000
2016-01-01,7.0000000000000000
2017-01-01,5.8750000000000000
2018-01-01,4.8666669999999996
2019-01-01,4.4333330000000002
2020-01-01,4.8499999999999996
2021-01-01,4.2249999999999996
2022-01-01,3.5416669999999999
2023-01-01,3.5416669999999999
2024-01-01,3.6666669999999999
